source_account	article_publish_date	article_title	name	event_type	organizer_name	venue_name	venue_address	city	country	start_date	end_date	start_time	end_time	ticket_url	official_website	source_provider	source_event_url	status	notes
Asylum Events	2026-04-08	倒计时开启！SULTAN+SHEPARD新专巡演上海站时间表释出	SULTAN+SHEPARD 上海巡演	club_show	Asylum Events			上海	中国	2026-04-17	2026-04-17					WeChat		upcoming	日期由标题“04.17上海”推断
Asylum Events	2026-04-03	SHENWAVE申浪音乐节官宣！ANYMA携全新项目“EDEN”亚洲首演开启全球巡演序幕	SHENWAVE申浪音乐节 / ANYMA EDEN	festival	Asylum Events				中国							WeChat		upcoming	活动信息待补
Asylum Events	2026-03-18	04.17上海｜地球上最治愈的旋律浩室双人组来了！	SULTAN+SHEPARD 上海巡演	club_show	Asylum Events			上海	中国	2026-04-17	2026-04-17					WeChat		upcoming	
Asylum Events	2026-02-27	Eric Luttrell深沪巡演—室内外双重呈现！	Eric Luttrell 深沪巡演	club_show	Asylum Events			深圳/上海	中国							WeChat		upcoming	
Asylum Events	2026-01-21	他的90分钟现场，你一秒都不能错过！	（待确认）90分钟现场活动	club_show	Asylum Events				中国							WeChat		upcoming	标题未含艺人名
Asylum Events	2026-03-28	03.28｜asylum air - Rave模式的日咖夜酒	asylum air 日咖夜酒	special_event	Asylum Events				中国	2026-03-28	2026-03-28					WeChat		past	年份按时间序列推断
Asylum Events	2026-04-30	申浪预热派对来袭！特邀浩室制作人Enamour	Enamour 申浪预热派对	club_show	Asylum Events	BOLIVE	No.25 Tairan 8th Road, Futian, Shenzhen	深圳	中国	2026-04-30	2026-05-01	21:00	02:00			WeChat		upcoming	日期场地来自海报信息
Asylum Events	2026-02-27	「永浴旋律」Nils Hoffmann 2026新专巡演回归	Nils Hoffmann 2026中国巡演	club_show	Asylum Events				中国							WeChat		upcoming	标题在页面截断后补全
Asylum Events	2025-12-23	「初来即心」Romain Garcia 2025新专巡演 广州站回顾	Romain Garcia 广州站	club_show	Asylum Events			广州	中国	2025-12-12	2025-12-12					WeChat		past	日期由同账号12.12预告推断
Asylum Events	2025-11-27	12.13联合呈现｜倒挂人回来了——Afterlife旋律女王ANII再临上海	ANII 上海演出	club_show	Asylum Events			上海	中国	2025-12-13	2025-12-13					WeChat		upcoming	
Asylum Events	2025-11-25	12.12 广州｜Romain Garcia携新专国内「震撼首发」	Romain Garcia 广州演出	club_show	Asylum Events			广州	中国	2025-12-12	2025-12-12					WeChat		upcoming	
Asylum Events	2025-10-11	mölly 2025中国巡演——旋律的浪潮在月下翻涌	mölly 2025中国巡演	club_show	Asylum Events				中国							WeChat		upcoming	
Asylum Events	2025-10-06	当电子音乐遇见东方园林！ASYLUM与CLSTR56在豫园开启另类蹦迪！	ASYLUM x CLSTR56 豫园活动	special_event	Asylum Events		豫园	上海	中国							WeChat		past	
Asylum Events	2025-08-13	9月13日｜年度重磅呈现：HÖR深圳站，全程录制，邀你共赴狂欢·BO LIVE（前海店）	HÖR 深圳站	special_event	Asylum Events	BO LIVE（前海店）		深圳	中国	2025-09-13	2025-09-13					WeChat		upcoming	
Asylum Events	2025-08-05	ESTIVA中国巡演倒计时开启！就在本周末携新专《Embrace》重磅回归！	ESTIVA 中国巡演	club_show	Asylum Events			深沪	中国							WeChat		upcoming	
Asylum Events	2025-07-24	荷兰渐进先锋ESTIVA携新专《Embrace》重磅回归！中国深沪巡演再度开启	ESTIVA 深沪巡演	club_show	Asylum Events			深圳/上海	中国							WeChat		upcoming	
Asylum Events	2025-07-09	「灵魂共舞」Le Youth中国双城巡演回顾	Le Youth 中国双城巡演	club_show	Asylum Events				中国							WeChat		past	
